method,clean_auc,clean_accuracy,attacked_auc_mean,attacked_auc_ci_low,attacked_auc_ci_high,attacked_accuracy_mean,attacked_accuracy_ci_low,attacked_accuracy_ci_high,mean_p_value,brier_proxy,mean_latency_sec,p95_latency_sec,mean_tokens_per_sec,distinct_1,distinct_2,mean_perplexity,bleu_vs_plain
baseline,0.9866666666666667,0.9466666666666667,0.48263703703703703,0.45280000000000004,0.5037333333333334,0.4955555555555556,0.48666666666666664,0.5066666666666667,0.016136959519299002,0.03557188916474789,139.05725289300085,233.42761297002434,3.930793969864147,0.2361946418808092,0.6179824561403509,13.007637545354166,0.015035707388042526
multibit,0.9719111111111111,0.9333333333333333,0.5500444444444444,0.5203555555555556,0.5912888888888889,0.5044444444444444,0.5,0.5133333333333333,0.019513733380038676,0.10011789385420827,145.98633518601457,237.25100371539594,3.852412554496,0.21301238795447677,0.5974017232094776,10.558182911814704,0.013773902073513212
pcm,0.9861333333333333,0.94,0.7137481481481481,0.6088888888888889,0.7708444444444446,0.6466666666666666,0.5266666666666666,0.7066666666666667,0.044318843731788495,0.017475933498412664,116.25617460921407,208.048949771747,4.664420682638818,0.24887478786984432,0.6687876882098331,17.963497792317703,0.009958141937925241
