method,clean_auc,clean_accuracy,attacked_auc_mean,attacked_auc_ci_low,attacked_auc_ci_high,attacked_accuracy_mean,attacked_accuracy_ci_low,attacked_accuracy_ci_high,mean_p_value,brier_proxy,mean_latency_sec,p95_latency_sec,mean_tokens_per_sec,distinct_1,distinct_2,mean_perplexity,bleu_vs_plain
baseline,0.9801,0.955,0.52415,0.4865,0.58065,0.5083333333333334,0.49,0.535,0.024209862818268507,0.022634532238935096,107.34576786447316,157.31335789859295,3.6449935373105062,0.24396291504959033,0.6559795152914022,11.708248185379993,0.017607801806272676
multibit,0.9725,0.915,0.4705,0.409,0.5153,0.5,0.49499999999999994,0.505,0.022673199857270024,0.13109084683080732,105.0828746946156,158.70035871062427,3.5954959155164046,0.22056883154962614,0.5918187168922896,11.448574173885657,0.03693977559467274
pcm,0.9994,0.93,0.6583666666666667,0.5676,0.7091499999999998,0.5883333333333334,0.55,0.63,0.004436466081262339,0.0018808627828971096,89.48625882219523,134.45986737888305,4.168936234087911,0.2803614137656125,0.7255821043405358,18.14595996566106,0.018548285780841216
